description,category
Supplying and laying microwave sensor switch for parking lighting with warranty,Electrical
Providing and installing bath shower diverter with ceramic cartridge as per drawing,Plumbing
Supply and installation of storage water heater 6L with anode rod including all accessories,Plumbing
Providing and laying water meter 15mm ultrasonic for domestic metering as per drawing,Plumbing
Supply and fixing of chiller water cooled 50TR screw type as per IS standards,HVAC
Supplying and laying HDPE pipe 20mm for irrigation as per IS standards,Plumbing
Supply and installation of under counter wash basin with bottle trap including all accessories,Plumbing
Supply and installation of flexible conduit 16mm with connectors with all fittings,Electrical
Installation of automatic gate swing for emergency exit complete in all respects,Other
Supply and fixing of dry cooler 80KW for free cooling including testing and commissioning,HVAC
Providing battery operated emergency light ceiling mounted as per approved make,Electrical
Supply and installation of refrigerant piping 3/8 inch with nitrogen purging as per specification,HVAC
Installation of kota stone flooring 25mm thick for passage as per drawing,Civil
Procurement and installation of rainwater downpipe 150mm GI including all accessories,PHE
Installation of manhole cover 600x600mm medium duty ductile iron as per approved make,PHE
Supplying flexible conduit 20mm with connectors as directed by engineer,Electrical
Supplying and fixing BMS controller for HVAC monitoring as per drawing,HVAC
Providing and fixing fire pump split case 50HP with controller with all fittings,Fire
Providing and installing fire pump centrifugal 60HP with suction strainer,Fire
Supplying STP control panel microprocessor with alarm system with warranty,Other
Supply and erection of fire extinguisher ABC dry powder 4kg including labour and material,Fire
Installation and commissioning of quarter turn bib cock 15mm satin finish including labour and material,Plumbing
Supply and erection of fire hose cabinet GI with extinguisher space including all accessories,Fire
Supplying energy recovery ventilator 250 CFM with controls as per approved make,HVAC
Supplying and fixing sewer line 200mm dia RCC including testing and commissioning,PHE
Supply and installation of UPS power socket with separate circuit with warranty,Electrical
Providing and laying PVC pipe 50mm for condensate drain with all fittings,Plumbing
Supplying and laying fire exit signage self-luminous directional as per IS standards,Fire
Supplying and fixing air curtain 1000mm for loading dock,HVAC
Providing and fixing swimming pool heating system with skimmer as directed by engineer,Other
Installation of earthing system with maintenance free electrode 2m long including testing and commissioning,Electrical
Supplying and fixing DG set 625KVA silent with exhaust system as per drawing,Other
Supply and installation of nahani trap 75mm CP as per IS standards,PHE
Supplying and laying fresh air handling unit 1000 CFM with enthalpy wheel complete in all respects,HVAC
Providing and fixing RCC raft foundation M35 grade with reinforcement with warranty,Civil
Providing and laying epoxy flooring 3mm thick for factory floor as directed by engineer,Civil
Providing and fixing fire sprinkler flow switch 50mm for alarm activation including testing and commissioning,Fire
Supplying fire hydrant hose 63mm 20m synthetic including testing and commissioning,Fire
Supplying fire hydrant landing valve 100mm single outlet as per approved make,Fire
Procurement and installation of refrigerant piping 1/4 inch with nitrogen purging,HVAC
Providing and installing ACP cladding 5mm for building facade as per drawing,Other
Supplying and fixing concealed shower mixer with diverter complete in all respects,Plumbing
Supply and erection of intercom system wireless for hotel with warranty,Other
Rate for submersible sewage pump 3HP with control panel including all accessories,PHE
Providing and fixing water quality monitoring BOD analyzer for effluent monitoring including labour and material,PHE
Providing check valve 50mm spring loaded for pump discharge as per drawing,Plumbing
Providing and installing bar screen for collection tank automatic complete in all respects,PHE
Rate for fire escape ladder GI 8m,Fire
Supplying and fixing fire survival cable 2.5 sqmm 2 core as per drawing,Electrical
Supplying and fixing heat pump water source 8TR for hot water including labour and material,HVAC
Providing and laying electronic fan regulator for exhaust fan complete in all respects,Electrical
Procurement and installation of flexible conduit 16mm with clamps as per IS standards,Electrical
Installation of yard hydrant underground 80mm as per specification,Fire
Installation and commissioning of motorized screen 200 inch for classroom as per drawing,Other
Procurement and installation of surface drainage channel 200mm polymer concrete as per drawing,PHE
Providing industrial power socket 6A with USB with all fittings,Electrical
Procurement and installation of water mist fire suppression for heritage building with warranty,Fire
Supply and erection of long body bib cock 15mm chrome plated including testing and commissioning,Plumbing
Rate for damp proof course with liquid applied membrane including testing and commissioning,Civil
Installation and commissioning of cable gland SS type for unarmoured cable with all fittings,Electrical
Supply and erection of AAC block 150mm for internal partition as per drawing,Civil
Installation of cable laying armoured 4 core 25 sqmm with all fittings,Electrical
Supply and erection of copper refrigerant piping 1/4 inch with insulation including all accessories,HVAC
Providing LED cob light 9W gimbal with housing as per specification,Electrical
Supplying LED track light 5W adjustable with reflector including all accessories,Electrical
Supplying and fixing boom barrier electromechanical for security gate with warranty,Other
Installation and commissioning of fire alarm integration with BMS as per IS standards,Other
